"시점",북한,북한,북한,북한,북한,북한,북한,북한,북한,남한,남한,남한,남한,남한,남한,남한,남한,남한
"시점",에너지 (kcal),-식물성 (kcal),-동물성 (kcal),단백질 (g),-식물성 (g),-동물성 (g),지방질 (g),-식물성 (g),-동물성 (g),에너지 (kcal),-식물성 (kcal),-동물성 (kcal),단백질 (g),-식물성 (g),-동물성 (g),지방질 (g),-식물성 (g),-동물성 (g)
"1999",2112,1990,122,57.49,49.61,7.88,31.72,22.2,9.52,2968,2526,442,98.2,57.4,40.8,82.5,56.8,25.6
"2000",2147,2014,132,61.15,52.36,8.78,35.82,25.6,10.23,3010,2579,431,97.1,55.9,41.2,80.1,55.9,24.1
"2001",2096,1953,143,58.87,49.03,9.85,35.39,24.51,10.88,3000,2538,462,98.3,53.6,44.7,83.9,58.2,25.6
"2002",2182,2022,159,62.11,51.75,10.36,37.43,25,12.43,2991,2515,477,98.5,52.6,45.8,85.2,58.7,26.5
"2003",2189,2040,150,59.42,49.78,9.64,36.55,24.82,11.73,2919,2452,467,97.6,51.5,46.1,83.1,57.5,25.6
"2004",2206,2054,152,60.27,50.57,9.7,37.45,25.65,11.8,2990,2524,466,99.4,52.7,46.7,85.8,60.7,25.1
"2005",2180,2024,156,59.19,49.05,10.14,37,24.93,12.06,2983,2525,458,98.1,52.7,45.4,88.9,64.2,24.6
"2006",2141,1999,142,57.87,48.14,9.73,34.88,24.04,10.84,2989,2511,478,100.9,52.8,48.1,88.3,62.9,25.5
"2007",2109,1975,134,57.14,47.34,9.8,34.03,24.14,9.88,2981,2497,484,100.8,52.4,48.5,89,63,26
"2008",2095,1969,126,56.72,46.96,9.76,34.35,25.34,9.01,2957,2484,474,96.8,50.1,46.7,88.6,62.8,25.9
"2009",2088,1962,126,56.38,46.59,9.78,33.37,24.4,8.97,2909,2429,480,95.1,48.3,46.8,89.7,63.3,26.4
"2010",2079,1969,110,60.03,49.02,11,35.63,28.62,7.01,2990,2504,487,97.4,50.1,47.3,94.1,67.3,26.8
"2011",2090,1979,111,61.17,49.97,11.2,36.42,29.33,7.09,3067,2569,498,97.3,49.5,47.8,96,69.5,26.4
"2012",2098,1985,113,61.2,49.85,11.35,36.35,29.14,7.21,3112,2607,505,98.8,50.1,48.7,99.7,72.7,26.9
"2013",2077,1962,115,59.71,48.15,11.56,34.88,27.58,7.3,2981,2455,526,99.2,48.3,50.9,89.8,61.7,28.1
"2014",2099,1985,114,60.08,48.47,11.62,34.87,27.67,7.2,3058,2503,555,102.7,48.6,54.1,98.1,68.6,29.5
"2015",2069,1954,115,59.38,47.68,11.7,34.78,27.5,7.28,2844,2327,517,104.9,49.4,55.4,94.9,68.1,26.8
"2016",2052,1935,118,58.69,46.87,11.82,34.62,27.1,7.52,2860,2323,537,104.8,48.9,56,98.6,70,28.6
"2017",2065,1946,119,59.11,47.24,11.87,34.47,26.81,7.66,2983,2413,571,112.5,49.2,63.3,104.1,75.2,28.9
"2018",2004,1884,120,57.6,45.69,11.91,34.2,26.51,7.69,3012,2438,574,111.6,49.3,62.3,109.1,79.4,29.7
