"시점",북한(B),북한(B),남한(A),남한(A),남한(A)-북한(B),남한(A)-북한(B)
"시점",남자,여자,남자,여자,남자,여자
"2022",71.9,78.3,79.9,85.6,8.0,7.3
"2023",72.1,78.6,80.6,86.4,8.5,7.8
"2024",72.5,78.8,81.4,87.1,8.9,8.3
"2025",72.8,79.1,81.6,87.3,8.8,8.2
"2026",73.1,79.3,81.9,87.5,8.8,8.2
"2027",73.3,79.6,82.1,87.6,8.8,8.0
"2028",73.6,79.8,82.4,87.8,8.8,8.0
"2029",73.9,80.0,82.6,88.0,8.7,8.0
"2030",74.1,80.2,82.8,88.1,8.7,7.9
"2031",74.3,80.4,83.0,88.3,8.7,7.9
"2032",74.6,80.6,83.2,88.4,8.6,7.8
"2033",74.8,80.7,83.4,88.6,8.6,7.9
"2034",75.0,80.9,83.6,88.7,8.6,7.8
"2035",75.2,81.1,83.8,88.8,8.6,7.7
"2036",75.3,81.2,84.0,88.9,8.7,7.7
"2037",75.5,81.3,84.2,89.1,8.7,7.8
"2038",75.7,81.5,84.4,89.2,8.7,7.7
"2039",75.8,81.6,84.6,89.4,8.8,7.8
"2040",76.0,81.7,84.8,89.5,8.8,7.8
"2041",76.1,81.8,85.0,89.6,8.9,7.8
"2042",76.3,81.9,85.2,89.8,8.9,7.9
"2043",76.4,82.0,85.4,89.9,9.0,7.9
"2044",76.5,82.1,85.6,90.0,9.1,7.9
"2045",76.6,82.2,85.7,90.1,9.1,7.9
"2046",76.8,82.3,85.9,90.2,9.1,7.9
"2047",76.9,82.4,86.1,90.3,9.2,7.9
"2048",77.0,82.5,86.2,90.4,9.2,7.9
"2049",77.1,82.5,86.4,90.6,9.3,8.1
"2050",77.2,82.6,86.5,90.7,9.3,8.1
"2051",77.2,82.7,86.7,90.8,9.5,8.1
"2052",77.3,82.7,86.8,90.9,9.5,8.2
"2053",77.4,82.8,87.0,91.0,9.6,8.2
"2054",77.5,82.9,87.2,91.1,9.7,8.2
"2055",77.6,82.9,87.3,91.2,9.7,8.3
"2056",77.6,83.0,87.4,91.3,9.8,8.3
"2057",77.7,83.0,87.6,91.4,9.9,8.4
"2058",77.8,83.0,87.7,91.5,9.9,8.5
"2059",77.8,83.1,87.8,91.6,10.0,8.5
"2060",77.9,83.1,88.0,91.7,10.1,8.6
"2061",77.9,83.2,88.1,91.8,10.2,8.6
"2062",78.0,83.2,88.2,91.8,10.2,8.6
"2063",78.0,83.2,88.4,91.9,10.4,8.7
"2064",78.1,83.3,88.5,92.0,10.4,8.7
"2065",78.1,83.3,88.6,92.1,10.5,8.8
"2066",78.2,83.3,88.7,92.2,10.5,8.9
"2067",78.2,83.4,88.9,92.3,10.7,8.9
"2068",78.2,83.4,89.0,92.4,10.8,9.0
"2069",78.3,83.4,89.1,92.5,10.8,9.1
"2070",78.3,83.4,89.2,92.5,10.9,9.1
