"시점",북한,남한
"2022",14.316,2.148
"2023",14.535,2.074
"2024",13.319,1.968
"2025",13.046,1.931
"2026",12.806,1.895
"2027",12.574,1.859
"2028",12.319,1.824
"2029",12.088,1.788
"2030",11.826,1.758
"2031",11.606,1.723
"2032",11.380,1.687
"2033",11.147,1.657
"2034",10.923,1.628
"2035",10.721,1.600
"2036",10.497,1.569
"2037",10.324,1.539
"2038",10.106,1.512
"2039",9.908,1.483
"2040",9.715,1.456
"2041",9.547,1.430
"2042",9.353,1.404
"2043",9.178,1.377
"2044",8.996,1.352
"2045",8.839,1.326
"2046",8.663,1.304
"2047",8.503,1.280
"2048",8.353,1.258
"2049",8.211,1.238
"2050",8.061,1.218
"2051",7.940,1.198
"2052",7.826,1.178
"2053",7.718,1.161
"2054",7.609,1.143
"2055",7.514,1.125
"2056",7.430,1.108
"2057",7.347,1.091
"2058",7.274,1.075
"2059",7.183,1.061
"2060",7.102,1.047
"2061",7.020,1.032
"2062",6.935,1.018
"2063",6.851,1.002
"2064",6.779,0.989
"2065",6.709,0.974
"2066",6.639,0.957
"2067",6.562,0.945
"2068",6.493,0.930
"2069",6.429,0.917
"2070",6.356,0.904
"2071",6.294,0.891
"2072",6.235,0.877
"2073",6.167,0.864
"2074",6.107,0.854
"2075",6.045,0.841
"2076",5.981,0.827
"2077",5.930,0.815
"2078",5.871,0.805
"2079",5.811,0.795
"2080",5.760,0.783
"2081",5.707,0.773
"2082",5.654,0.761
"2083",5.605,0.750
"2084",5.559,0.738
"2085",5.513,0.728
"2086",5.461,0.717
"2087",5.413,0.705
"2088",5.367,0.694
"2089",5.318,0.682
"2090",5.273,0.671
"2091",5.232,0.662
"2092",5.181,0.653
"2093",5.145,0.643
"2094",5.103,0.633
"2095",5.064,0.624
"2096",5.024,0.614
"2097",4.980,0.604
"2098",4.935,0.595
"2099",4.895,0.588
"2100",4.860,0.580
